match_id,source_match_id,source,competition,season,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
FTE-01643,1929-20220923-1643,five_thirty_eight,International Match,2022,2022-09-23 00:00:00+00:00,South Korea,Costa Rica,2,2,1.58,2.65
FTE-01644,1929-20220923-1644,five_thirty_eight,International Match,2022,2022-09-23 00:00:00+00:00,Japan,USA,2,0,1.29,0.63
FTE-01647,1929-20220923-1647,five_thirty_eight,International Match,2022,2022-09-23 00:00:00+00:00,Iran,Uruguay,1,0,0.3,1.31
FTE-01648,1929-20220923-1648,five_thirty_eight,International Match,2022,2022-09-23 00:00:00+00:00,Canada,Qatar,0,2,1.92,0.26
FTE-01649,1929-20220923-1649,five_thirty_eight,International Match,2022,2022-09-23 00:00:00+00:00,Saudi Arabia,Ecuador,0,0,0.45,0.86
FTE-01650,1929-20220923-1650,five_thirty_eight,International Match,2022,2022-09-23 00:00:00+00:00,Brazil,Ghana,3,0,2.81,0.38
FTE-01656,1929-20220923-1656,five_thirty_eight,International Match,2022,2022-09-23 00:00:00+00:00,Morocco,Chile,2,0,1.91,0.31
FTE-01657,1929-20220923-1657,five_thirty_eight,International Match,2022,2022-09-23 00:00:00+00:00,Argentina,Honduras,3,0,2.43,0.1
FTE-01645,7141-20220923-1645,five_thirty_eight,UEFA Nations League,2022,2022-09-23 00:00:00+00:00,Estonia,Malta,2,1,1.31,1.1
FTE-01646,7141-20220923-1646,five_thirty_eight,UEFA Nations League,2022,2022-09-23 00:00:00+00:00,Georgia,North Macedonia,2,0,0.73,0.62
FTE-01651,7141-20220923-1651,five_thirty_eight,UEFA Nations League,2022,2022-09-23 00:00:00+00:00,Italy,England,1,0,0.49,0.65
FTE-01652,7141-20220923-1652,five_thirty_eight,UEFA Nations League,2022,2022-09-23 00:00:00+00:00,Germany,Hungary,0,1,0.92,0.59
FTE-01653,7141-20220923-1653,five_thirty_eight,UEFA Nations League,2022,2022-09-23 00:00:00+00:00,Bosnia and Herzegovina,Montenegro,1,0,0.73,0.59
FTE-01654,7141-20220923-1654,five_thirty_eight,UEFA Nations League,2022,2022-09-23 00:00:00+00:00,Finland,Romania,1,1,0.58,0.86
FTE-01655,7141-20220923-1655,five_thirty_eight,UEFA Nations League,2022,2022-09-23 00:00:00+00:00,Bulgaria,Gibraltar,5,1,2.32,0.44
FTE-01659,1929-20220924-1659,five_thirty_eight,International Match,2022,2022-09-24 00:00:00+00:00,South Africa,Sierra Leone,4,0,2.83,0.37
FTE-01660,1929-20220924-1660,five_thirty_eight,International Match,2022,2022-09-24 00:00:00+00:00,Kyrgyzstan,Russia,1,2,0.36,1.86
FTE-01669,1929-20220924-1669,five_thirty_eight,International Match,2022,2022-09-24 00:00:00+00:00,Colombia,Guatemala,4,1,2.49,0.28
FTE-01670,1929-20220924-1670,five_thirty_eight,International Match,2022,2022-09-24 00:00:00+00:00,Mexico,Peru,1,0,0.37,0.25
FTE-01671,1929-20220924-1671,five_thirty_eight,International Match,2022,2022-09-24 00:00:00+00:00,Australia,New Zealand,0,2,2.16,0.61
FTE-01658,7141-20220924-1658,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Armenia,Ukraine,0,5,0.55,2.69
FTE-01661,7141-20220924-1661,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Slovenia,Norway,2,1,0.97,1.25
FTE-01662,7141-20220924-1662,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Northern Ireland,Kosovo,2,1,2.07,2.02
FTE-01663,7141-20220924-1663,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Scotland,Iceland,2,1,1.74,0.8
FTE-01664,7141-20220924-1664,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Cyprus,Greece,1,0,0.92,1.43
FTE-01665,7141-20220924-1665,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Czech Republic,Portugal,0,4,1.38,3.28
FTE-01666,7141-20220924-1666,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Spain,Switzerland,1,2,0.62,0.6
FTE-01667,7141-20220924-1667,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Serbia,Sweden,4,1,2.63,1.16
FTE-01668,7141-20220924-1668,five_thirty_eight,UEFA Nations League,2022,2022-09-24 00:00:00+00:00,Israel,Albania,2,1,2.07,0.84
FTE-01672,7141-20220925-1672,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Andorra,Latvia,1,1,1.3,1.67
FTE-01673,7141-20220925-1673,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Moldova,Liechtenstein,2,0,1.37,0.22
FTE-01674,7141-20220925-1674,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Slovakia,Belarus,1,1,1.05,0.63
FTE-01675,7141-20220925-1675,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Azerbaijan,Kazakhstan,3,0,2.02,0.0
FTE-01676,7141-20220925-1676,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Faroe Islands,Turkey,2,1,0.4,0.4
FTE-01677,7141-20220925-1677,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Denmark,France,2,0,1.6,1.47
FTE-01678,7141-20220925-1678,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Luxembourg,Lithuania,1,0,1.63,0.5
FTE-01679,7141-20220925-1679,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Austria,Croatia,1,3,1.34,1.25
FTE-01680,7141-20220925-1680,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Netherlands,Belgium,1,0,1.86,1.58
FTE-01681,7141-20220925-1681,five_thirty_eight,UEFA Nations League,2022,2022-09-25 00:00:00+00:00,Wales,Poland,0,1,1.39,0.8
FTE-01682,7141-20220926-1682,five_thirty_eight,UEFA Nations League,2022,2022-09-26 00:00:00+00:00,San Marino,Estonia,0,4,0.07,2.54
FTE-01683,7141-20220926-1683,five_thirty_eight,UEFA Nations League,2022,2022-09-26 00:00:00+00:00,England,Germany,3,3,2.28,1.77
FTE-01684,7141-20220926-1684,five_thirty_eight,UEFA Nations League,2022,2022-09-26 00:00:00+00:00,Montenegro,Finland,0,2,1.36,1.8
FTE-01685,7141-20220926-1685,five_thirty_eight,UEFA Nations League,2022,2022-09-26 00:00:00+00:00,Romania,Bosnia and Herzegovina,4,1,2.54,1.03
FTE-01686,7141-20220926-1686,five_thirty_eight,UEFA Nations League,2022,2022-09-26 00:00:00+00:00,North Macedonia,Bulgaria,0,1,0.42,1.2
FTE-01687,7141-20220926-1687,five_thirty_eight,UEFA Nations League,2022,2022-09-26 00:00:00+00:00,Hungary,Italy,0,2,2.34,1.51
FTE-01688,7141-20220926-1688,five_thirty_eight,UEFA Nations League,2022,2022-09-26 00:00:00+00:00,Gibraltar,Georgia,1,2,1.03,2.66
FTE-01689,1929-20220927-1689,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,South Korea,Cameroon,1,0,1.2,0.3
FTE-01690,1929-20220927-1690,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,Ecuador,Japan,0,0,1.29,0.56
FTE-01691,1929-20220927-1691,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,Canada,Uruguay,0,2,0.63,0.73
FTE-01692,1929-20220927-1692,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,Chile,Qatar,2,2,1.92,0.6
FTE-01693,1929-20220927-1693,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,Saudi Arabia,USA,0,0,0.64,0.44
FTE-01694,1929-20220927-1694,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,Brazil,Tunisia,5,1,2.34,0.55
FTE-01704,1929-20220927-1704,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,Jamaica,Argentina,3,0,0.1,1.85
FTE-01705,1929-20220927-1705,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,Peru,El Salvador,1,4,2.19,1.13
FTE-01706,1929-20220927-1706,five_thirty_eight,International Match,2022,2022-09-27 00:00:00+00:00,Mexico,Colombia,2,3,1.38,0.68
FTE-01695,7141-20220927-1695,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Norway,Serbia,0,2,0.39,0.72
FTE-01696,7141-20220927-1696,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Portugal,Spain,0,1,0.88,0.97
FTE-01697,7141-20220927-1697,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Ukraine,Scotland,0,0,2.0,0.49
FTE-01698,7141-20220927-1698,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Greece,Northern Ireland,3,1,1.7,0.5
FTE-01699,7141-20220927-1699,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Switzerland,Czech Republic,2,1,1.28,1.71
FTE-01700,7141-20220927-1700,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Albania,Iceland,1,1,1.88,1.0
FTE-01701,7141-20220927-1701,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Kosovo,Cyprus,5,1,2.13,0.31
FTE-01702,7141-20220927-1702,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Sweden,Slovenia,1,1,1.08,1.79
FTE-01703,7141-20220927-1703,five_thirty_eight,UEFA Nations League,2022,2022-09-27 00:00:00+00:00,Iceland,Armenia,3,2,2.78,0.12
FTE-01707,1929-20221106-1707,five_thirty_eight,International Match,2022,2022-11-06 00:00:00+00:00,Iceland,Saudi Arabia,1,0,0.8,1.29
FTE-01708,1929-20221109-1708,five_thirty_eight,International Match,2022,2022-11-09 00:00:00+00:00,Mexico,Iraq,4,0,2.86,0.02
FTE-01709,1929-20221110-1709,five_thirty_eight,International Match,2022,2022-11-10 00:00:00+00:00,Panama,Saudi Arabia,1,1,0.97,1.25
FTE-01710,1929-20221111-1710,five_thirty_eight,International Match,2022,2022-11-11 00:00:00+00:00,Bahrain,Canada,2,2,1.11,1.23
FTE-01711,1929-20221112-1711,five_thirty_eight,International Match,2022,2022-11-12 00:00:00+00:00,Iraq,Ecuador,0,0,0.1,1.31
FTE-01712,1929-20221116-1712,five_thirty_eight,International Match,2022,2022-11-16 00:00:00+00:00,Croatia,Saudi Arabia,0,1,0.42,0.58
FTE-01713,1929-20221116-1713,five_thirty_eight,International Match,2022,2022-11-16 00:00:00+00:00,United Arab Emirates,Argentina,0,5,1.23,2.5
FTE-01714,1929-20221116-1714,five_thirty_eight,International Match,2022,2022-11-16 00:00:00+00:00,Austria,Andorra,0,1,3.33,0.02
