match_id,date,stage,round,group,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral
HIST-00139,2018-03-27 00:00:00+00:00,historical,historical,,Peru,Iceland,3,1,Friendly,Harrison,United States,True
HIST-00140,2018-03-27 00:00:00+00:00,historical,historical,,Philippines,Tajikistan,2,1,AFC Asian Cup qualification,Manila,Philippines,False
HIST-00141,2018-03-27 00:00:00+00:00,historical,historical,,Poland,South Korea,3,2,Friendly,Chorzów,Poland,False
HIST-00142,2018-03-27 00:00:00+00:00,historical,historical,,Romania,Sweden,1,0,Friendly,Craiova,Romania,False
HIST-00143,2018-03-27 00:00:00+00:00,historical,historical,,Russia,France,1,3,Friendly,Saint Petersburg,Russia,False
HIST-00144,2018-03-27 00:00:00+00:00,historical,historical,,Serbia,Nigeria,2,0,Friendly,London,England,True
HIST-00145,2018-03-27 00:00:00+00:00,historical,historical,,Seychelles,Eswatini,0,0,Friendly,Victoria,Seychelles,False
HIST-00146,2018-03-27 00:00:00+00:00,historical,historical,,Slovenia,Belarus,0,2,Friendly,Ljubljana,Slovenia,False
HIST-00147,2018-03-27 00:00:00+00:00,historical,historical,,Spain,Argentina,6,1,Friendly,Madrid,Spain,False
HIST-00148,2018-03-27 00:00:00+00:00,historical,historical,,Switzerland,Panama,6,0,Friendly,Lucerne,Switzerland,False
HIST-00149,2018-03-27 00:00:00+00:00,historical,historical,,Taiwan,Singapore,1,0,AFC Asian Cup qualification,Taipei,Taiwan,False
HIST-00150,2018-03-27 00:00:00+00:00,historical,historical,,Tanzania,DR Congo,2,0,Friendly,Dar es Salaam,Tanzania,False
HIST-00151,2018-03-27 00:00:00+00:00,historical,historical,,Tunisia,Costa Rica,1,0,Friendly,Nice,France,True
HIST-00152,2018-03-27 00:00:00+00:00,historical,historical,,Uganda,Malawi,0,0,Friendly,Kampala,Uganda,False
HIST-00153,2018-03-27 00:00:00+00:00,historical,historical,,Ukraine,Japan,2,1,Friendly,Liège,Belgium,True
HIST-00154,2018-03-27 00:00:00+00:00,historical,historical,,United States,Paraguay,1,0,Friendly,Cary,United States,False
HIST-00155,2018-03-27 00:00:00+00:00,historical,historical,,Yemen,Nepal,2,1,AFC Asian Cup qualification,Doha,Qatar,True
HIST-00156,2018-04-01 00:00:00+00:00,historical,historical,,Malaysia,Bhutan,7,0,Friendly,Kuala Lumpur,Malaysia,False
HIST-00157,2018-04-08 00:00:00+00:00,historical,historical,,Barawa,Chagos Islands,4,1,Friendly,London,England,False
HIST-00158,2018-04-15 00:00:00+00:00,historical,historical,,Barawa,Yorkshire,2,7,Friendly,London,England,False
HIST-00159,2018-04-18 00:00:00+00:00,historical,historical,,Trinidad and Tobago,Panama,0,1,Friendly,Couva,Trinidad and Tobago,False
HIST-00160,2018-04-18 00:00:00+00:00,historical,historical,,Zimbabwe,Botswana,0,1,Friendly,Harare,Zimbabwe,False
HIST-00161,2018-04-26 00:00:00+00:00,historical,historical,,Saint Kitts and Nevis,Jamaica,1,3,Friendly,Basseterre,Saint Kitts and Nevis,False
HIST-00162,2018-04-29 00:00:00+00:00,historical,historical,,Ellan Vannin,Panjab,2,1,Friendly,Sandbach,England,True
HIST-00163,2018-04-29 00:00:00+00:00,historical,historical,,Saint Barthélemy,Saint Martin,3,2,Friendly,Saint-Jean,Saint Barthélemy,False
HIST-00164,2018-04-30 00:00:00+00:00,historical,historical,,Antigua and Barbuda,Jamaica,0,2,Friendly,St. John's,Antigua and Barbuda,False
HIST-00165,2018-05-06 00:00:00+00:00,historical,historical,,Barawa,Surrey,1,3,Friendly,London,England,False
HIST-00166,2018-05-08 00:00:00+00:00,historical,historical,,Iraq,Palestine,0,0,Friendly,Basra,Iraq,False
HIST-00167,2018-05-09 00:00:00+00:00,historical,historical,,Algeria,Saudi Arabia,0,2,Friendly,Cádiz,Spain,True
HIST-00168,2018-05-11 00:00:00+00:00,historical,historical,,Kuwait,Palestine,2,0,Friendly,Kuwait City,Kuwait,False
HIST-00169,2018-05-12 00:00:00+00:00,historical,historical,,Jersey,Guernsey,1,0,Muratti Vase,Jersey,Jersey,False
HIST-00170,2018-05-15 00:00:00+00:00,historical,historical,,Saudi Arabia,Greece,2,0,Friendly,Seville,Spain,True
HIST-00171,2018-05-19 00:00:00+00:00,historical,historical,,Iran,Uzbekistan,1,0,Friendly,Tehran,Iran,False
HIST-00172,2018-05-20 00:00:00+00:00,historical,historical,,Jordan,Cyprus,3,0,Friendly,Amman,Jordan,False
HIST-00173,2018-05-25 00:00:00+00:00,historical,historical,,Kuwait,Egypt,1,1,Friendly,Kuwait City,Kuwait,False
HIST-00174,2018-05-25 00:00:00+00:00,historical,historical,,Kenya,Eswatini,0,1,Friendly,Machakos,Kenya,False
HIST-00175,2018-05-26 00:00:00+00:00,historical,historical,,China,Myanmar,1,0,Friendly,Nanjing,China,False
HIST-00176,2018-05-26 00:00:00+00:00,historical,historical,,Saint Barthélemy,Sint Maarten,5,3,Friendly,Saint-Jean,Saint Barthélemy,False
HIST-00177,2018-05-27 00:00:00+00:00,historical,historical,,Cameroon,Burkina Faso,0,1,Friendly,Beauvais,France,True
HIST-00178,2018-05-27 00:00:00+00:00,historical,historical,,Niger,Central African Republic,3,3,Friendly,Niamey,Niger,False
HIST-00179,2018-05-27 00:00:00+00:00,historical,historical,,Madagascar,Mozambique,2,1,COSAFA Cup,Polokwane,South Africa,True
HIST-00180,2018-05-27 00:00:00+00:00,historical,historical,,Comoros,Seychelles,1,1,COSAFA Cup,Polokwane,South Africa,True
HIST-00181,2018-05-28 00:00:00+00:00,historical,historical,,United States,Bolivia,3,0,Friendly,Chester,United States,False
HIST-00182,2018-05-28 00:00:00+00:00,historical,historical,,Nigeria,DR Congo,1,1,Friendly,Port Harcourt,Nigeria,False
HIST-00183,2018-05-28 00:00:00+00:00,historical,historical,,Kenya,Equatorial Guinea,1,0,Friendly,Machakos,Kenya,False
HIST-00184,2018-05-28 00:00:00+00:00,historical,historical,,Portugal,Tunisia,2,2,Friendly,Braga,Portugal,False
HIST-00185,2018-05-28 00:00:00+00:00,historical,historical,,Italy,Saudi Arabia,2,1,Friendly,St. Gallen,Switzerland,True
HIST-00186,2018-05-28 00:00:00+00:00,historical,historical,,France,Republic of Ireland,2,0,Friendly,Saint-Denis,France,False
HIST-00187,2018-05-28 00:00:00+00:00,historical,historical,,Mexico,Wales,0,0,Friendly,Pasadena,United States,True
