player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1006454,30503,4,3,9,,17517.0,3784009.0,FORMER_NATIONAL_PLAYER
1006454,31372,2,1,9,,17517.0,4018915.0,FORMER_NATIONAL_PLAYER
1006612,11946,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1006612,25514,0,0,0,,,,FORMER_NATIONAL_PLAYER
1006612,28164,0,0,0,,,,RECENT_NATIONAL_PLAYER
1006916,22515,7,0,5,,63306.0,4572939.0,RECENT_NATIONAL_PLAYER
1006916,26471,2,1,4,,27781.0,4263287.0,FORMER_NATIONAL_PLAYER
1006916,31919,7,0,5,,,,CURRENT_NATIONAL_PLAYER
1006916,36495,10,0,4,,27781.0,4060752.0,FORMER_NATIONAL_PLAYER
1006916,38018,5,0,4,,21489.0,3784013.0,FORMER_NATIONAL_PLAYER
100722,3591,5,0,9,,31939.0,3464750.0,FORMER_NATIONAL_PLAYER
100722,34868,5,1,12,,,,FORMER_NATIONAL_PLAYER
1007384,11946,0,0,0,,,,FORMER_NATIONAL_PLAYER
1007384,25514,0,0,0,,,,FORMER_NATIONAL_PLAYER
1007384,28164,0,0,0,,,,FORMER_NATIONAL_PLAYER
1007384,28437,4,1,6,,69203.0,3784007.0,FORMER_NATIONAL_PLAYER
1007384,34700,0,0,0,,,,FORMER_NATIONAL_PLAYER
1007391,28164,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1007391,28437,2,0,4,,69203.0,3784015.0,FORMER_NATIONAL_PLAYER
1007391,31200,3,0,0,,61445.0,4575337.0,RECENT_NATIONAL_PLAYER
1007391,34700,6,0,5,,61445.0,3968417.0,FORMER_NATIONAL_PLAYER
1007716,11946,1,0,0,,24972.0,4478618.0,RECENT_NATIONAL_PLAYER
1007716,28164,6,0,14,,,,FORMER_NATIONAL_PLAYER
1007716,28437,0,0,0,,,,FORMER_NATIONAL_PLAYER
1007720,9171,3,0,4,,17293.0,4189883.0,CURRENT_NATIONAL_PLAYER
